HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
408,,,Sky Cinema Comedy e,,19,1903,Sky UK Ltd,24 hours,V.VIP,,
409,,,Sky Cinema Thriller e,,20,2001,Sky UK Ltd,24 hours,V.VIP,,
410,,,Sky Cinema Drama e,,17,1703,Sky UK Ltd,24 hours,V.VIP,,
411,,,Sky Cinema Sci Fi & Horror e,,30,3003,Sky UK Ltd,24 hours,V.VIP,,
412,,,Sky Cinema Animation e,,24,2405,Sky UK Ltd,24 hours,V.VIP,,
416,415,417,TCM Movies,,28/07/2010,2804/720/1018,Turner Broadcasting System Europe (WarnerMedia),24 hours,Player & Drama,,
,419,420,Movies 24 e,,6,618/619,NBCUniversal International Networks,24 hours,,Player & Drama,
,424,,Sony Movies Classic e,,11,1114,Columbia Pictures Corporation Ltd,24 hours,,Player,
,425,,Sony Movies,,2,215,Columbia Pictures Corporation Ltd,24 hours,,Player,
,426,,Sony Movies Action,,2,212,Columbia Pictures Corporation Ltd,24 hours,,Player,
429,428,430,Film4,,27/04/2004,2702/421/422,Channel Four Television Corporation,11:00–03:00,Player & Drama,Player,
,445,,Talking Pictures TV,,8,801,Talking Pictures TV Ltd,24 hours,,Player,
,,,,,,,,,,,
Sport,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
501,511,,Sky Sports Main Event e,,32/6,3201/617,Sky UK Ltd,24 hours,V.VIP,,
502,512,,Sky Sports Premier League e,,25-Feb,2501/217,Sky UK Ltd,24 hours,V.VIP,,
503,513,,Sky Sports Football e,,20-Jun,2003/628,Sky UK Ltd,24 hours,V.VIP,,
504,514,,Sky Sports Cricket e,,19-Jul,1901/706,Sky UK Ltd,24 hours,V.VIP,,
505,515,,Sky Sports Golf e,,23-Nov,2307/1110,Sky UK Ltd,24 hours,V.VIP,,
506,516,,Sky Sports F1 e,,27-Mar,2706/324,Sky UK Ltd,24 hours,V.VIP,,
507,517,,Sky Sports Action e,(February to September),27-Feb,2705/206,Sky UK Ltd,24 hours,V.VIP,,
,,,Sky Sports NFL e,(September to February),,,Sky UK Ltd,,,,
,,,,,,,(Branding licensed from the NFL),,,,
508,518,,Sky Sports Arena e,,23-Aug,2303/809,Sky UK Ltd,24 hours,V.VIP,,
509,519,,Sky Sports News e,,24-Jul,2401/725,Sky UK Ltd,24 hours,Full House,,
510,520,,Sky Sports Mix e,,23-Jul,2301/707,Sky UK Ltd,24 hours,Full House,,
521,,,Eurosport 1,Service,16,1601,"Discovery, Inc",24 hours,Full House,,
522,,,Eurosport 2,Service,19,1905,"Discovery, Inc",24 hours,Full House,,
228,,,Eurosport 4K,"(Via Virgin TV Ultra HD, Eurosport 1 & Eurosport 2)",14,1401,"Discovery, Inc",24 hours,Full House,,
521,,,,,,,,,,,
522,,,,,,,,,,,
999,,,,,,,,,,,
,526,,MUTV,,3,323,Manchester United F.C.,24 hours,,Premium,
527,,,BT Sport 1,S1,26,2606,BT Group plc,24 hours,Full House,,
,,,,,,,,,Premium,,
528,,,BT Sport 2,S1,25,2504,BT Group plc,24 hours,Full House,,
,,,,,,,,,Premium,,
529,,,BT Sport 3,S1,24,2403,BT Group plc,24 hours,Full House,,
,,,,,,,,,Premium,,
530,,,BT Sport ESPN,S1,26,2601,BT Group plc,24 hours,Full House,,
,,,,,,,,,Premium,,
531,,,BT Sport Ultimate,S1,22,2201,BT Group plc,24 hours,Full House,,
,,,,,,,,,Premium,,
535,,,Sky Sports Racing e,,13,1303,Sky UK Ltd,24 hours,Player,,
536,,,Racing TV,,18,1807,Racing TV,24 hours,Premium,,
544,,,LFCTV,,26,2607,Liverpool F.C,24 hours,Premium,,
,546,,BoxNation,,5,512,Boxing Channel Media Ltd,Varies,,Premium,
551,,,Premier Sports 1,,30,3001,Premier Media S.à r.l.,24 hours,Premium,,
552,,,Premier Sports 2,,13,1301,Premier Media S.à r.l.,24 hours,Premium,,
553,,,FreeSports,,30,3006,Premier Media S.à r.l.,24 hours,Player,,
554,,,LaLiga TV,,13,1304,Premier Media S.à r.l.,24 hours,Premium,,
,,,,,,,,,,,
Footnotes to the Sports section:,,,,,,,,,,,
,,,,,,,,,,,
S1 - BT Sport channels available with the Full House package or Premium package.,,,,,,,,,,,
News,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
601,,,BBC News,On-demand,28,2806,BBC,24 hours,Player,,
602,603,,Sky News,,25-Feb,2503/221,Sky UK Ltd,24 hours,Full House,Player,
,605,,BBC Parliament,On-demand,10,1001,BBC,24 hours,,Player,
,607,,CNN International,,4,423,Turner Broadcasting System Europe (WarnerMedia),24 hours,,Player,
609,,,Bloomberg Television,,18,1805,Bloomberg L.P.,24 hours,Player,,
,613,,CNBC Europe,,6,624,CNBC Europe (NBCUniversal),24 hours,,Player,
,620,,Euronews,,6,616,Media Globe Networks/NBC News International,24 hours,,Player,
,621,,NDTV 24x7,,2,213,New Delhi Television Ltd.,24 hours,,Player,
,622,,Al Jazeera English,,7,701,Al Jazeera,24 hours,,Player,
624,,,France 24 English,,29,2906,France Médias Monde,24 hours,Player,,
625,,,NHK World-Japan,,26,2605,NHK,24 hours,Player,,
,,,,,,,,,,,
Kids,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,700,,Kids TV on Demand,On-demand,10,1007,Virgin Media (Liberty Global),24 hours,,V.VIP,
701,,,CBBC,On-demand,23,2304,BBC,07:00–21:00,Player,,
702,,,CBeebies,On-demand,23,2306,BBC,06:00–18:58,Player,,
,703,,BabyTV,,3,312,Disney Channels Worldwide,24 hours,,Premium,
732,704,705,Cartoon Network,,19/04/2008,1904/425/825,Turner Broadcasting System Europe (WarnerMedia),24 hours,V.VIP,,
,706,,Cartoonito,,5,525,Turner Broadcasting System Europe (WarnerMedia),04:00–21:00,,V.VIP,
714,712,713,Nickelodeon,,25/07/2007,2505/710/708,Nickelodeon UK (ViacomCBS Networks UK & Australia/Sky UK Ltd),03:00-00:00,V.VIP,,
,715,,Nick Jr.,,7,705,Nickelodeon UK (ViacomCBS Networks UK & Australia/Sky UK Ltd),24 hours,,V.VIP,
,716,,Nick Jr. Too e,,7,703,Nickelodeon UK (ViacomCBS Networks UK & Australia/Sky UK Ltd),03:00–00:00,,V.VIP,
,717,,Nicktoons,,7,709,Nickelodeon UK (ViacomCBS Networks UK & Australia/Sky UK Ltd),03:00–00:00,,V.VIP,
,730,731,Boomerang,,4,418/419,Turner Broadcasting System Europe (WarnerMedia),24 hours,,V.VIP,
,734,,CITV,,8,824,ITV Digital Channels Ltd (ITV plc),06:00–21:00,,Player,
,736,,Pop,,11,1115,Columbia Pictures Corporation Ltd,24 hours,,Player,
,737,,Tiny Pop,,11,1112,Columbia Pictures Corporation Ltd,24 hours,,Player,
,,,,,,,,,,,
Shopping,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,740,,QVC,,2,222,QVC (Liberty Interactive),24 hours,,Player,
,741,,QVC Beauty,,11,1125,QVC (Liberty Interactive),24 hours,,Player,
,742,,QVC Style,,5,516,QVC (Liberty Interactive),24 hours,,Player,
,747,,Ideal World,,8,818,Ideal Shopping Direct Ltd,24 hours,,Player,
,748,,Create and Craft,,8,817,Ideal Shopping Direct Ltd,24 hours,,Player,
,755,,Gems TV,,10,1008,Gemporia Ltd,24 hours,,Player,
,756,,Jewellery Maker,,7,704,JewelleryMaker Ltd,24 hours,,Player,
